,text
0,"The report concludes by discussing trends with regard to the House's recent CAS practices and by providing considerations for congressional personnel drafting CASs. The report contains two tables: Table 1 identifies the constitutional provisions most commonly cited in CASs during the last six months of the 114 th and 115 th Congresses, and Table 2 lists suggested constitutional authorities for various types of legislation.
Specifically, that clause provides Congress with the power to make ""all Laws which shall be necessary and proper for carrying into Execution the foregoing Powers and all other Powers vested by this Constitution in the Government of the United States, or in any Department or Officer thereof."" The Supreme Court has interpreted the scope of Congress's power under the Necessary and Proper Clause as ""broad,"" in that the clause leaves to ""Congress a large discretion as to the means that may be employed in executing a given power."" In so holding, the Court has described the clause as providing the ""broad power to enact laws that are 'convenient, or useful' or 'conducive' to"" a more specific authority's ""beneficial exercise."" Consistent with this view, the Court has upheld legislation criminalizing perjury and witness tampering as an extension of Congress's power to constitute federal tribunals.
For instance, the Supreme Court has identified federalism-based constraints stemming from the Tenth Amendment—the provision of the Bill of Rights that reads, ""The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people."" More specifically, the Court has interpreted the Tenth Amendment to prevent the federal government from ""commandeering"" or requiring state executive officers or state legislators to carry out federal directives.
Among the most prominent examples of CASs that could be seen as adopting an interpretation of the Constitution that potentially diverges from historical understandings or judicial interpretations of a particular clause include statements that cite to the following clauses: Necessary and Proper Clause : One of the most frequently cited clauses in recent CASs was the Necessary and Proper Clause, which allows Congress to ""make all Laws which shall be necessary and proper for carrying into Execution"" the powers enumerated in Article I and ""all other Powers vested by [the] Constitution in the Government of the United States, or in any Department or Officer thereof."" About a quarter of all CASs in the CRS studies contained a citation to that clause, with 14% of the 2016 CASs and 19% of the 2018 CASs citing the Necessary and Proper Clause as the sole power to enact the underlying legislation."
1,"In his veto message, President Nixon said the Resolution would impose restrictions upon the authority of the President which would be dangerous to the safety of the Nation and ""attempt to take away, by a mere legislative act, authorities which the President has properly exercised under the Constitution for almost 200 years."" The War Powers Resolution in Section 2(c) recognized the constitutional powers of the President as Commander in Chief to introduce forces into hostilities or imminent hostilities as ""exercised only pursuant to (1) a declaration of war, (2) specific statutory authorization, or (3) a national emergency created by attack upon the United States, its territories or possessions, or its armed forces."" The executive branch has contended that the President has much broader authority to use forces, including for such purposes as to rescue American citizens abroad, rescue foreign nationals where such action facilitates the rescue of U.S. citizens, protect U.S. Embassies and legations, suppress civil insurrection, implement the terms of an armistice or cease-fire involving the United States, and carry out the terms of security commitments contained in treaties.
The measure, which became law, provided that any joint resolution or bill to require the removal of U.S. Armed Forces engaged in hostilities outside the United States without a declaration of war or specific statutory authorization would be considered in accordance with the expedited procedures of Section 601(b) of the International Security and Arms Export Control Act of 1976, except that it would be amendable and debate on a veto limited to 20 hours.
Neither approach was adopted in legislation, but the Senate Foreign Relations Committee reported that the President had ""a clear obligation under the War Powers Resolution to consult with Congress prior to any future decision to commit combat forces to El Salvador."" On July 26, 1983, the House rejected an amendment to the Defense Authorization bill ( H.R. 2969 ) to limit the number of active duty military advisers in El Salvador to 55, unless the President reported any increase above that level under Section 4(a)(1) of the War Powers Resolution.
The House Appropriations Committee approved an amendment to the continuing resolution for FY1984 ( H.J.Res. 367 ), sponsored by Representative Clarence Long, providing that after 60 days, funds could not be ""obligated or expended for peacekeeping activities in Lebanon by United States Armed Forces,"" unless the President had submitted a report under Section 4(a)(1) of the War Powers Resolution.
The Defense Authorization Act for FY1994 required a report to Congress by April 1, 1994, including discussion of the requirement of congressional approval for participation of U.S. Armed Forces in multinational peacekeeping missions, proposals to conclude military agreements with the U.N. Security Council under Article 43 of the U.N. Charter, and the applicability of the War Powers Resolution and the U.N. Participation Act. In 1994 and 1995, Congress attempted to gain a greater role in U.N. and other peacekeeping operations through authorization and appropriation legislation.
On October 2, 1990, the Senate by a vote of 96-3 adopted S.Con.Res. 147 , stating that ""Congress supports continued action by the President in accordance with the decisions of the United Nations Security Council and in accordance with United States constitutional and statutory processes, including the authorization and appropriation of funds by the Congress, to deter Iraqi aggression and to protect American lives and vital interest in the region."" As in the House, Senate leaders emphasized that the resolution was not to be interpreted as an open-ended resolution similar to the Gulf of Tonkin resolution.
In his statement made after signing H.J.Res. 77 into law, President Bush said the following: ""As I made clear to congressional leaders at the outset, my request for congressional support did not, and my signing this resolution does not, constitute any change in the long-standing positions of the executive branch on either the President's constitutional authority to use the Armed Forces to defend vital U.S. interests or the constitutionality of the War Powers Resolution."" He added that he was pleased that ""differences on these issues between the President and many in the Congress have not prevented us from uniting in a common objective."" On January 16, President Bush made the determination required by P.L. 102-1 that diplomatic means had not and would not compel Iraq to withdraw from Kuwait.
On June 24, 1998, the House passed H.R. 4103 , the Defense Department Appropriations bill for FY1999, with a provision by Representative David Skaggs that banned the use of funds appropriated or otherwise made available by this act ""to initiate or conduct offensive military operations by United States Armed Forces except in accordance with the war powers clause of the Constitution (Article 1, Section 8), which vests in Congress the power to declare and authorize war and to take certain specified, related actions."" The Skaggs provision was stricken by the House-Senate conference committee on H.R. 4103 .
On March 31, 1993, the U.N. Security Council authorized member states to take all necessary measures to enforce the ban on military flights over Bosnia, the ""no-fly zone."" NATO planes, including U.S. planes, began patrolling over Bosnia and Herzegovina on April 12, 1993, to enforce the Security Council ban, and the next day, President Clinton reported the U.S. participation ""consistent with Section 4 of the War Powers Resolution."" Conflict continued, but the situation was complicated and opinion in Congress and among U.N. and NATO members was divided.
On September 1, 1995, President Clinton reported ""consistent with the War Powers Resolution,"" that ""U.S. combat and support aircraft"" had been used beginning on August 29, 1995, in a series of NATO air strikes against Bosnian Serb Army (BSA) forces in Bosnia-Herzegovina that were threatening the U.N.-declared safe areas of Sarajevo, Tuzla, and Gorazde."" He noted that during the first day of operations, ""some 300 sorties were flown against 23 targets in the vicinity of Sarajevo, Tuzla, Gorazde, and Mostar."" On September 7, 1995, the House passed an amendment to the FY1996 Department of Defense Appropriations Bill ( H.R. 2126 ), offered by Representative Mark Neumann that prohibited the obligation or expenditure of funds provided by the bill for any operations beyond those already undertaken.
Subsequently, on October 30, 1995, the House, by a vote of 315-103, passed H.Res. 247 , expressing the sense of the House that ""no United States Armed forces should be deployed on the ground in the territory of the Republic of Bosnia and Herzegovina to enforce a peace agreement until the Congress has approved such a deployment."" On November 13, President Clinton's 9-page letter to Speaker Gingrich stated he would send a request ""for a congressional expression of support for U.S. participation in a NATO-led Implementation Force in Bosnia ...
On June 12, 1999, President Clinton announced and reported to Congress ""consistent with the War Powers Resolution"" that he had directed the deployment of about ""7,000 U.S. military personnel as the U.S. contribution to the approximately 50,000-member, NATO-led security force (KFOR)"" being assembled in Kosovo.
On September 24, 2001, President Bush reported to Congress, ""consistent with the War Powers Resolution,"" and ""Senate Joint Resolution 23"" that in response to terrorist attacks on the World Trade Center and the Pentagon he had ordered the ""deployment of various combat-equipped and combat support forces to a number of foreign nations in the Central and Pacific Command areas of operations."" The President noted that as part of efforts to ""prevent and deter terrorism"" he might find it necessary to order additional forces into these and other areas of the world...."" He stated that he could not now predict ""the scope and duration of these deployments,"" nor the ""actions necessary to counter the terrorist threat to the United States."" Subsequently, on October 9, 2001, President George W.
In his War Powers Resolution report to Congress, on June 15, 2012, the President noted that he had authorized, during the previous six months, the U.S. military to work closely with the government of Yemen ""to operationally dismantle and ultimately eliminate the terrorist threat posed by al-Qa'ida in the Arabian Peninsula (AQAP), the most active and dangerous affiliate of al-Qa'ida today."" The President added that Our joint efforts have resulted in direct action against a limited number of AQAP operatives and senior leaders in that country who posed a terrorist threat to the United States and our interests.
Providing an explanation of applicable constitutional and/or legislative authority, President Obama stated that he had directed the deployment ""pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief and Chief Executive."" Subsequent notifications updating Congress on the status of U.S. Armed Forces in Niger have been included regularly in the six-month periodic reports under the War Powers Resolution, reflecting an increase of total numbers of troops from approximately 40 in early 2013 to approximately 800 as of the June 2018 notification.
On December 21, 1995, President Clinton notified Congress ""consistent with the War Powers Resolution"" that he had ordered the deployment of approximately 20,000 U.S. military personnel to participate in the NATO-led Implementation Force (IFOR) in the Republic of Bosnia-Herzegovina, and approximately 5,000 U.S. military personnel would be deployed in other former Yugoslav states, primarily in Croatia.
On December 21, 1995, President Clinton notified Congress ""consistent with the War Powers Resolution"" that he had ordered the deployment of approximately 20,000 U.S. military personnel to participate in the NATO-led Implementation Force (IFOR) in the Republic of Bosnia-Herzegovina, and approximately 5,000 U.S. military personnel would be deployed in other former Yugoslav states, primarily in Croatia.
On January 19, 1999, by letter, President Clinton notified Congress ""consistent with the War Powers Resolution"" that pursuant to his authority as Commander in Chief he was continuing to authorize the use of combat-equipped U.S. Armed Forces to Bosnia and other states in the region to participate in and support the NATO-led Stabilization Force (SFOR).
On June 12, 1999, President Clinton reported to Congress, ""consistent with the War Powers Resolution,"" that he had directed the deployment of about ""7,000 U.S. military personnel as the U.S. contribution to the approximately 50,000-member, NATO-led security force (KFOR)"" being assembled in Kosovo.
On December 15, 1999, President Clinton reported to Congress ""consistent with the War Powers Resolution"" that U.S. combat-equipped military personnel continued to serve as part of the NATO-led security force in Kosovo (KFOR).
On June 16, 2000, President Clinton reported to Congress, ""consistent with the War Powers Resolution,"" that the U.S. was continuing to provide military personnel to the NATO-led KFOR security force in Kosovo.
On July 25, 2000, President Clinton reported to Congress, ""consistent with the War Powers Resolution,"" that combat-equipped U.S. military personnel continued to participate in the NATO-led Stabilization Force (SFOR) in Bosnia and Herzegovina, being deployed to Bosnia, and other states in the region in support of peacekeeping efforts in former Yugoslavia.
On December 18, 2000, President Clinton reported to Congress, ""consistent with the War Powers Resolution,"" that the United States was continuing to provide approximately 5,600 U.S. military personnel in support of peacekeeping efforts in Kosovo as part of the NATO-led international security force in Kosovo (KFOR).
Bush reported to Congress, ""consistent with the War Powers Resolution,"" and ""Senate Joint Resolution 23"" that on October 7, 2001, U.S. Armed Forces ""began combat action in Afghanistan against Al Qaida terrorists and their Taliban supporters."" The President stated that he had directed this military action in response to the September 11, 2001, attacks on U.S.
Bush reported to Congress, ""consistent with the War Powers Resolution,"" and ""Senate Joint Resolution 23"" that on October 7, 2001, U.S. Armed Forces ""began combat action in Afghanistan against Al Qaida terrorists and their Taliban supporters."" The President stated that he had directed this military action in response to the September 11, 2001, attacks on U.S.
Bush reported to Congress, ""consistent with the War Powers Resolution,"" that the United States was continuing to provide approximately 5,500 U.S. military personnel in support of peacekeeping efforts in Kosovo as part of the NATO-led international security force in Kosovo (KFOR).
Bush reported to Congress, ""consistent with the War Powers Resolution,"" that the United States was continuing to provide approximately 5,500 U.S. military personnel in support of peacekeeping efforts in Kosovo as part of the NATO-led international security force in Kosovo (KFOR).
On November 15, 2002, the President reported to Congress ""consistent with the War Powers Resolution"" that the U.S. was continuing to deploy combat equipped military personnel as part of the NATO-led international security force in Kosovo (KFOR).
On May 14, 2003, President Bush reported to Congress, ""consistent with the War Powers Resolution,"" that combat-equipped U.S. military personnel continued to be deployed as part of the NATO-led international security force in Kosovo (KFOR).
On July 22, 2003, President Bush reported to Congress, ""consistent with the War Powers Resolution,"" that the United States continued to provide about 1,800 combat-equipped military personnel in Bosnia and Herzegovina in support of NATO's Stabilization Force (SFOR) and its peacekeeping efforts in this country.
On November 14, 2003, the President reported to Congress ""consistent with the War Powers Resolution"" that the United States was continuing to deploy combat equipped military personnel as part of the NATO-led international security force in Kosovo (KFOR).
On January 22, 2004, the President reported to Congress ""consistent with the War Powers Resolution"" that the United States was continuing to deploy combat equipped military personnel in Bosnia and Herzegovina in support of NATO's Stabilization Force (SFOR) and its peacekeeping efforts in this country."
2,"Members of the minority stated, in the Ways and Means Committee's report to the House, that the old-age benefits program (Title II) and the method by which the money was to be raised to pay for the program (Title VIII) established a ""bureaucracy in the field of insurance in competition with private business."" They contended further that the program would ""destroy old-age retirement systems set up by private industries, which in most instances provide more liberal benefits than are contemplated under Title II."" Although some party members tried to remove the old-age benefits provisions, the majority of Republicans in both chambers nevertheless did vote for the final Social Security bill.
House Action On June 2, 1939, following public hearings on the proposed amendments and six weeks of executive sessions, the Committee on Ways and Means reported to the House H.R. 6635, embodying its recommendations for amendments to the Social Security Act. The day before, the House had debated on and voted against the Townsend old-age pension bill.
The minority stated in the committee's report to the House that ""while the bill in no sense represents a complete or satisfactory solution of the problem of Social Security, it at least makes certain improvements in the present law (some of which we have ourselves heretofore suggested) which we believe justify us in supporting it despite its defects."" On June 9, 1939, Representative Havenner (D-CA) offered an amendment, endorsed by the American Federation of Labor, to extend Social Security coverage to workers employed in college clubs or fraternities or sororities; employees in nonprofit religious, charitable, or educational institutions; student nurses; and some agricultural workers.
In a 1942 letter to the Senate Finance Committee, President Roosevelt said that ""a failure to allow the scheduled increase in rates to take place under the present favorable circumstances would cause a real and justifiable fear that adequate funds will not be accumulated to meet the heavy obligations of the future and that the claims for benefits accruing under the present law may be jeopardized."" He also stated that ""expanded Social Security, together with other fiscal measures, would set up a bulwark of economic security for the people now and after the war and at the same time would provide anti-inflationary sources for financing the war."" Members who were opposed to the freeze argued that the scheduled payroll tax increase was important for the long-term soundness of the OASI trust fund and that postponing the tax increase would mean higher payroll tax rates in the future and perhaps government subsidies to meet obligations.
The amendments increased OASI benefits for both present and future recipients (by an average of 15% for those on the rolls), permitted recipients to earn $75 a month (instead of $50) without losing OASI benefits, extended wage credits of $160 for each month in which active military or naval service was performed during the period from July 24, 1947, through December 1953, and provided for a disability ""freeze,"" which in principle preserved the Social Security benefits of qualified workers who became permanently and totally disabled before retirement by averaging the person's wages only over his or her working years.
Among the amendments adopted on the floor by the Senate was a provision by Senator Long (D-LA) to require the Department of Health, Education, and Welfare to study the feasibility and costs of providing increased minimum benefits of $55, $60, and $75 a month under the Social Security program.
Senate Action At Senate Finance Committee hearings on the House-passed bill, the Secretary of Health, Education, and Welfare, Marion Folsom stated that the Administration was opposed to reducing the retirement age to 62 for women and providing disability benefits.
On June 5, 1956, the Senate Finance Committee reported H.R. 7225 after eliminating the Disability Insurance program and the tax increase to pay for it and limiting retirement benefits at age 62 to widows only.
Conference Action The conferees agreed to the medical care provisions in the Senate-passed bill (i.e., no new title for a program for aged persons not eligible for OAA benefits).
The proposed Social Security Amendments of 1964 as passed by the House contained a 5% across-the-board Social Security benefit increase; extended the child's benefit to age 22 if he or she were in school; allowed widows to retire at age 60, with actuarially reduced benefits; provided limited benefits to persons aged 72 or older who had some Social Security coverage but not enough to meet the minimum requirements of existing law; and extended Social Security coverage to groups of persons who previously had been excluded.
The proposed Social Security Amendments of 1964 as passed by the Senate contained a hospital insurance program, the so-called King-Anderson bill; increased benefits: raised the earnings base; liberalized the earnings test; changed the eligibility requirements for the blind; and permitted religious groups to reject Social Security coverage if they had religious objections to social insurance.
Although a federally operated health insurance program covering the entire nation was considered by the Franklin Roosevelt Administration in 1935, it was not explicitly endorsed until January 1945, when President Roosevelt's budget message called for an ""extended Social Security including medical care."" Such a plan was submitted to Congress by President Truman in November 1945, but neither chamber acted on the proposal, in large part due to strong opposition by the AMA.
On July 7, 1965, Senator Byrd's (D-WV) amendment to lower the age at which workers could receive Social Security benefits to 60 (rather than age 62, the existing minimum) was agreed to by voice vote.
On July 9, 1965, Senator Hartke's (D-IN) amendment to liberalize the definition of blindness under the Social Security program, provide benefits to blind workers with at least 6 quarters of Social Security coverage, and permit blind workers to receive benefits regardless of other earnings was passed by a vote of 78 (28-R, 50-D) to 11 (11-D).
President Johnson had called for a 15% across-the-board increase in OASDI benefits and numerous other changes in the Social Security Act. The proposals were embodied in H.R. 5710, introduced in the House on February 20, 1967, by the Committee on Ways and Means chairman, Wilbur Mills (D-AR).
Senator Long (D-LA), chairman of the Finance Committee and floor manager of H.R. 4690, said that he had asked the House to take immediate action to raise Social Security benefits and as the House had not responded, he was offering a benefit increase as an amendment to H.R. 4690, a bill to increase the debt ceiling.
On March 12, 1971, Senator Long's amendment to provide a 10% increase in Social Security payments, a $100 minimum monthly benefit, increases in earnings limitations, and other changes passed by a vote of 82 (38-R, 44-D) to 0.
The Senate, on March 12, 1971, passed H.R. 4690, after approving several Social Security changes, including the benefit increase proposed by Senator Long, by a vote of 80 (37-R, 43-D) to 0.
On June 30, 1972, Representative Mills's (D-AR) motion that the House concur with the Senate-passed amendment granting a 20% Social Security benefit increase and annual automatic cost-of-living adjustments (COLAs) was accepted by a vote of 302 (108-R, 194-D) to 35 (28-R, 7-D).
On September 28, 1972, Senator Percy's (R-IL) amendment to require the Secretary of the Department of Health, Education, and Welfare to review the Social Security earnings test, and report to Congress on the feasibility of eliminating it, was accepted by voice vote.
n September 29, 1972, the Finance Committee's amendment to guarantee every person who worked in employment covered under the Social Security program for at least 30 years a minimum monthly benefit of $200 ($300 for a couple) passed by a vote of 73 (30-R, 43-D) to 0.
Senate Action The Senate Finance Committee approved a number of provisions affecting Social Security, including an initial 7% benefit increase effective upon enactment and a further 4% increase in June 1974.
On October 15, 1981, Senator Dole's (R-KS) amendment to apply the Social Security payroll tax to the first six months of all employer-financed sick pay, except that paid as insurance, was accepted by voice vote.
Conforming to most of the recommendations in the commission's package, the 1983 amendments put new federal employees and all nonprofit organization employees under the OASDI program as of January 1, 1984; prohibited state and local and nonprofit agencies from terminating Social Security coverage; moved the annual cost-of-living adjustments in benefits from July to January of each year (which caused a delay of six months in 1983); made up to one-half of the benefits received by higher income recipients subject to federal income taxation; gradually raised the full benefit retirement age from 65 to 67 early in the 21 st century; increased benefits for certain groups of widow(er)s; liberalized the earnings test; increased the delayed retirement credit; reduced benefits for workers also getting pensions based on noncovered employment; called for the earlier implementation of scheduled payroll tax increases; and substantially raised payroll tax rates on the self-employed.
Senate Action When the Finance Committee approved H.R. 3545 on December 3, 1987, it included the House Social Security coverage provisions.
Among its Social Security provisions, it made permanent a temporary provision, first enacted in 1984 and subsequently extended, that provides the option for recipients to choose to continue to receive disability and Medicare benefits while their termination is being appealed; liberalized the definition of disability for disabled widow(er)s by making it consistent with that for disabled workers; extended benefits to spouses whose marriage to the worker is otherwise invalid, if the spouse was living with the worker before he or she died or filed for benefits; removed the operation of the trust funds from budget deficit calculations under the Gramm-Rudman-Hollings Act; established separate House and Senate procedural safeguards to protect trust fund balances; extended coverage to employees of state and local governments who are not covered by a retirement plan; and raised the maximum amount of earnings subject to HI taxes to $125,000, effective in 1991, with raises thereafter indexed to increases in average wages."
3,"Introduction The Federal Reserve's (the Fed's) responsibilities as the nation's central bank fall into four main categories: monetary policy, provision of emergency liquidity through the lender of last resort function, supervision of certain types of banks and other financial firms for safety and soundness, and provision of payment system services to financial firms and the government.
By contrast, the Fed states that ""it would not be appropriate to specify a fixed goal for employment; rather, the Committee's policy decisions must be informed by assessments of the maximum level of employment, recognizing that such assessments are necessarily uncertain and subject to revision."" Monetary policy can be used to stabilize business cycle fluctuations (alternating periods of economic expansions and recessions) in the short run, while it mainly affects inflation in the long run.
Recent Monetary Policy Developments In December 2008, in the midst of the financial crisis and the ""Great Recession,"" the Fed lowered the federal funds rate to a range of 0% to 0.25%.
Although monetary policy is now less stimulative than it had been at the zero lower bound, the Fed is still adding stimulus to the economy as long as the federal funds rate is below what economists call the ""neutral rate"" (or the long-run equilibrium rate).
The loans and other assistance provided by the Federal Reserve to banks and nonbank institutions are considered assets on this balance sheet because they represent money owed to the Fed. With the federal funds rate at its zero bound and direct lending falling as financial conditions began to normalize in 2009, the Fed faced the decision of whether to try to provide additional monetary stimulus through unconventional measures."
4,"The hallmarks of this framework include establishment of an independent commission whose members are appointed by the President, in consultation with congressional leadership (and the advice and consent of the Senate); reliance on objective and uniform criteria for evaluating basing recommendations; GAO review and certification of DOD data; deliberations that include open hearings, solicitation of feedback, installation visits, and data available for public review; requirement that the commission's final list of closure and realignment actions be accepted or rejected in its entirety; and presidential and congressional off-ramps that would terminate the BRAC process when certain conditions are not met.
In addition to refining DOD accounting metrics, some observers have suggested congressional visibility into BRAC cost and long-term effectiveness could be improved by amending the process to require the Department to disclose how closure and realignment recommendations meet expected cost saving and reduced infrastructure targets.
In testimony before the Senate Appropriations Committee Subcommittee on Military Construction, Veterans Affairs, and Related Agencies, Lucian Niemeyer, Assistant Secretary of Defense for Energy, Installations and Environment, indicated DOD would be working in FY2019 to improve its excess infrastructure accounting processes and demolish unneeded infrastructure: In lieu of another request for legislation in FY 2019 to authorize an additional Base Realignment and Closure (BRAC) round, we will review our facilities, to include facility usage optimization review to ensure we have a better accounting of excess infrastructure."
5,"§644(e)(1) states, ""To the maximum extent practicable, procurement strategies used by a Federal department or agency having contracting authority shall facilitate the maximum participation of small business concerns as prime contractors, subcontractors, and suppliers."" To accomplish this goal, FAR regulations (FAR §19.202-1) require contracting officers, when applicable, to take the following actions prior to awarding a federal contract: 1.
Conduct periodic reviews of the agency's contracting activity, including the agency's assessment of any required small business subcontracting plan, ""to ascertain whether the agency is complying with the small business policies in this regulation."" Sponsor and participate in conferences and training ""designed to increase small business participation in the contracting activities of the office."" The Role of the Office of Small and Disadvantaged Business Utilization Every federal agency (except the SBA) that has procurement powers is required to have an OSDBU, whose director, by statute, reports directly to the head of the agency and has supervisory authority over agency staff performing certain procurement functions.
Among its statutory responsibilities are the following:  ""Identify proposed solicitations that involve significant bundling of contract requirements, and work with the agency acquisition officials and the Administration to revise the procurement strategies for such proposed solicitations where appropriate to increase the probability of participation by small businesses as prime contractors, or to facilitate small business participation as subcontractors and suppliers, if a solicitation for a bundled contract is to be issued."" Assist small businesses ""to obtain payments, required late payment interest penalties, or information regarding payments due to the concern from an executive agency or a contractor."" Assign ""a small business technical adviser to each office to which the SBA has assigned"" a PCR.
Ensure that a small business that notifies the PCR prior to a contract's award that ""a solicitation, request for proposal, or request for quotation unduly restricts [its] ability … to compete for the award … is aware of other resources and processes available to address unduly restrictive provisions … even if such resources and processes are provided by such agency, the Administration, the Comptroller General, or a Department of Defense (DOD) procurement technical assistance program [described below]."" Review all subcontracting plans ""to ensure that the plan provides maximum practicable opportunity for small business concerns to participate in the performance of the contract to which the plan applies."" In accordance with P.L. 109-163 , the National Defense Authorization Act of 2006, the DOD renamed its OSDBU the Office of Small Business Programs (OSBP)."
6,"For example, some contend that climate change poses a ""direct, existential threat"" to human society and that nations must start making significant reductions in GHG emissions in order to avoid ""dire effects."" To support this argument, proponents of climate change mitigation highlight the evidence and conclusions from recent reports that are generally considered authoritative, including: 1.
The third section discusses additional considerations associated with a carbon tax program, including estimates of GHG emissions, federal revenue, and fossil fuel prices and changes in energy use.
When deciding how to allocate the new revenue stream, policymakers would likely encounter trade-offs among objectives, including: reducing the economy-wide costs resulting from a carbon tax program; alleviating the costs borne by subgroups in the U.S. population, particularly low-income households and/or communities most dependent on carbon-intensive economic activity; and supporting specific policy objectives, such as domestic employment, climate change adaptation, energy efficiency, technological advance, energy diversity, or federal deficit reduction, among others.
Multiple economic studies and models have examined and compared various options for addressing the economy-wide impacts that may result from a carbon tax.
In general, the economic carbon tax studies usually agree on the relative ranking of revenue recycling options in terms of their ability to mitigate the economy-wide impacts of a carbon tax program.
Additional Considerations Impacts on GHG Emission Levels Multiple economic studies have estimated the emission reductions that particular carbon tax designs could achieve."
7,"Although other MSPB employees, including administrative judges who issue initial decisions in cases, will continue their work, some Members of Congress and others have raised concerns about the extent to which these vacancies limit the agency's ability to perform its other functions.
The Board has original jurisdiction over actions brought by the Special Counsel for corrective and disciplinary action, specified removals of persons in the Senior Executive Service (SES), and certain adverse personnel actions taken against administrative law judges (ALJs).
For employees who are neither ALJs nor members of the SES, the applicable standard is cause ""as will promote the efficiency of the service."" An ALJ who is subject to a final Board decision authorizing a proposed agency action may obtain judicial review before the Federal Circuit."
8,"An individual selected for a continuing position is generally appointed as a career-conditional employee subject to an initial one-year probationary period.
Adverse Action Protections and Procedures Employees in the competitive service who are not serving a probationary or trial period, or have completed one year of current continuous service in a position other than a temporary appointment limited to one year or less, maintain specified notice and appeal rights for adverse personnel actions."
9,"Regular Military Compensation (RMC) RMC, as defined in law, is ""the total of the following elements that a member of the uniformed services accrues or receives, directly or indirectly, in cash or in kind every payday: basic pay, basic allowance for housing, basic allowance for subsistence, and federal tax advantage accruing to the aforementioned allowances because they are not subject to federal income tax."" Though military compensation is structured much differently than civilian compensation, making comparison difficult, RMC provides a more complete understanding of the cash compensation provided to all servicemembers.
However, in the case of a downward adjustment, a ""save pay"" provision on the BAH statute prevents the decrease from applying to individuals currently assigned to that locality: ""So long as a member of a uniformed service retains uninterrupted eligibility to receive a basic allowance for housing within an area of the United States, the monthly amount of the allowance for the member may not be reduced as a result of changes in housing costs in the area or the promotion of the member."" Thus, only personnel newly assigned to the area receive the lower payment.
The House-passed version of the FY2019 National Defense Authorization Act (NDAA) contained no provision to specify the rate of increase in basic pay.
Section 601 of the House-passed version of the FY2018 National Defense Authorization Act (NDAA) required the statutory formula increase (2.4%) to go into effect, ""notwithstanding any determination made by the President under subsection (e) of such section with respect to an alternative pay adjustment....
No general pay raise provision was included in the final version of the NDAA, thereby leaving in place the 1.0% increase specified by President Obama.
One common method of comparison is to calculate the cumulative difference between increases in military and civilian pay using military basic pay, a narrow measure of cash compensation that does not include, for example, tax-free allowances for housing and food.
Additionally, general increases in basic pay higher than the rate of increase in the ECI (2000-2010) and the elimination of ""out-of-pocket"" housing expenses by 2005 pushed servicemember RMC up substantially in relation to civilian compensation."
